purity_quintile,n,pur_min,pur_max,r,p
1,205,0.08,0.39,0.047692434530205795,0.4970980496448698
2,205,0.39,0.5,0.09904109368170078,0.1576975561558994
3,205,0.51,0.62,0.054482207092296446,0.43782393186919333
4,205,0.62,0.73,0.17799215041115513,0.010670817079105764
5,204,0.73,1,0.12364596153859951,0.07808060963163597
