subset,n,r_raw,p_raw,r_partial,p_partial,pct_change_in_r,beta_TMB_unadj,beta_TMB_purityadj,p_TMB_purityadj,beta_purity,p_purity
All TCGA,1024,0.11515231676900292,2.2191767570969062e-4,0.10324879274797108,9.370598639666434e-4,-10.337198898838022,0.308145828634566,0.2748858051317834,9.424959508055717e-4,0.826970711753764,3.312854751199943e-5
CRC (COAD+READ),357,0.1309810459620803,0.01325609970109592,0.12964839794556543,0.014230253430213587,-1.0174357722724807,0.26999830243753753,0.2633241327778095,0.014367638821842223,-0.9981875525054016,0.0012130387369531654
Gastric (STAD),214,0.18938792736667528,0.005444614230062755,0.1772792482658689,0.00935502752398945,-6.393585520033004,0.3787783885740233,0.3553634166914428,0.009523991460839357,0.49349405516785183,0.18941742133110437
Esophageal (ESCA),97,-0.06312306603208817,0.53905426796325,-0.0819592681201268,0.42482128750556925,-29.84044228533414,-0.17844203521460603,-0.22954180780791864,0.4272821665419768,0.9934314191119615,0.08463062179054903
Head/Neck (HNSC),356,-0.08005474862359181,0.13166249074774455,-0.0815347648148451,0.12465073476655131,-1.8487550291515584,-0.25881204941091907,-0.2640176059960993,0.1251850579365019,0.15486165951782263,0.6164556964549577
Orodigestive pooled,1024,0.11515231676900292,2.2191767570969062e-4,0.10324879274797108,9.370598639666434e-4,-10.337198898838022,0.308145828634566,0.2748858051317834,9.424959508055717e-4,0.826970711753764,3.312854751199943e-5
